"concept_id","concept_code","concept_name","codeset","vocabulary_id"
4208807,312371005,"Acute infective bronchitis","bronchitis","SNOMED"
4208810,312400008,"Acute infective tracheobronchitis","bronchitis","SNOMED"
4211852,57419008,"Gastroenteritis presumed infectious","gastroenteritis_dehydration","SNOMED"
4215773,718004,"Acute bronchiolitis with obstruction","bronchiolitis","SNOMED"
4230249,359613008,"Acute infectious nonbacterial gastroenteritis","gastroenteritis_dehydration","SNOMED"
4232302,89549007,"Catarrhal bronchitis","bronchitis","SNOMED"
4234751,359651008,"Nonbacterial gastroenteritis of infant","gastroenteritis_dehydration","SNOMED"
4236311,407671000,"Bilateral pneumonia","pneumonia","SNOMED"
4243199,5875001,"Acute bronchitis with obstruction","bronchitis","SNOMED"
4260059,409506009,"Hemorrhagic gastroenteritis","gastroenteritis_dehydration","SNOMED"
4273378,64667001,"Interstitial pneumonia","pneumonia","SNOMED"
4276105,36789003,"Acute infective gastroenteritis","gastroenteritis_dehydration","SNOMED"
4289001,69776003,"Acute gastroenteritis","gastroenteritis_dehydration","SNOMED"
4293463,385093006,"Community acquired pneumonia","pneumonia","SNOMED"
4302027,78812008,"Neonatal dehydration","gastroenteritis_dehydration","SNOMED"
4322552,427784006,"Hypernatremic dehydration","gastroenteritis_dehydration","SNOMED"
4341520,236302005,"Acute interstitial pneumonia","pneumonia","SNOMED"
4347422,240332005,"Infantile gastroenteritis","gastroenteritis_dehydration","SNOMED"
35623412,765756007,"Benign infantile seizure with mild gastroenteritis syndrome","gastroenteritis_dehydration","SNOMED"
35623634,766049000,"Acute sensory ataxic neuropathy","guillain-barre","SNOMED"
35624130,766722008,"Paraparetic variant of Guillain-Barré syndrome","guillain-barre","SNOMED"
36712839,1.24e+13,"Idiopathic pneumonia syndrome","pneumonia","SNOMED"
37016927,713084008,"Pneumonia caused by Human coronavirus","pneumonia","SNOMED"
37017852,714203003,"Acute bronchitis co-occurrent with bronchiectasis","bronchitis","SNOMED"
37204369,783010003,"Pharyngeal-cervical-brachial variant of Guillain-Barré syndrome","guillain-barre","SNOMED"
37204541,783244002,"Acute pure sensory neuropathy","guillain-barre","SNOMED"
37206139,785745000,"Acute bronchitis co-occurrent with wheeze","bronchitis","SNOMED"
37310283,1.24e+15,"Gastroenteritis caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)","gastroenteritis_dehydration","SNOMED"
37396086,715770009,"Acute motor axonal neuropathy","guillain-barre","SNOMED"
37396785,716722005,"Acute motor sensory axonal neuropathy","guillain-barre","SNOMED"
37396786,716723000,"Acute inflammatory demyelinating polyradiculoneuropathy","guillain-barre","SNOMED"
40479642,441590008,"Pneumonia due to Severe acute respiratory syndrome coronavirus","pneumonia","SNOMED"
42535201,1.61e+16,"Sequela of Guillain Barre syndrome","guillain-barre","SNOMED"
42536885,735909008,"Dehydration following exertion","gastroenteritis_dehydration","SNOMED"
42872401,1.611e+12,"Mild dehydration","gastroenteritis_dehydration","SNOMED"
42872404,1.601e+12,"Moderate dehydration","gastroenteritis_dehydration","SNOMED"
42873066,450316000,"Severe dehydration","gastroenteritis_dehydration","SNOMED"
45763749,700249006,"Idiopathic interstitial pneumonia","pneumonia","SNOMED"
45768728,707222009,"Epidemic gastroenteritis","gastroenteritis_dehydration","SNOMED"
46269726,1.06e+16,"Bronchopneumonia due to virus","bronchitis","SNOMED"
46269726,1.06e+16,"Bronchopneumonia due to virus","pneumonia","SNOMED"
