"concept_id","concept_code","vocabulary_id","codeset","concept_name"
2025270,"OMOP4923856","250 ML dopamine 0.8 MG/ML / glucose 50 MG/ML Injectable Solution by Baxter","pressors","250 ML dopamine 0.8 MG/ML / glucose 50 MG/ML Injectable Solution by Baxter"
2025271,"OMOP4923857","250 ML dopamine 0.8 MG/ML / glucose 50 MG/ML Injectable Solution","pressors","250 ML dopamine 0.8 MG/ML / glucose 50 MG/ML Injectable Solution"
2025272,"OMOP4923858","250 ML dopamine 0.8 MG/ML / glucose 50 MG/ML Injectable Solution by JW","pressors","250 ML dopamine 0.8 MG/ML / glucose 50 MG/ML Injectable Solution by JW"
2025273,"OMOP4923859","250 ML dobutamine 4 MG/ML / glucose 50 MG/ML Injectable Solution by Baxter","pressors","250 ML dobutamine 4 MG/ML / glucose 50 MG/ML Injectable Solution by Baxter"
2025274,"OMOP4923860","250 ML dobutamine 4 MG/ML / glucose 50 MG/ML Injectable Solution","pressors","250 ML dobutamine 4 MG/ML / glucose 50 MG/ML Injectable Solution"
2025275,"OMOP4923861","250 ML dobutamine 4 MG/ML / glucose 50 MG/ML Injectable Solution by JW","pressors","250 ML dobutamine 4 MG/ML / glucose 50 MG/ML Injectable Solution by JW"
2025276,"OMOP4923862","250 ML dobutamine 2 MG/ML / glucose 50 MG/ML Injectable Solution by Baxter","pressors","250 ML dobutamine 2 MG/ML / glucose 50 MG/ML Injectable Solution by Baxter"
2025277,"OMOP4923863","250 ML dobutamine 2 MG/ML / glucose 50 MG/ML Injectable Solution by JW","pressors","250 ML dobutamine 2 MG/ML / glucose 50 MG/ML Injectable Solution by JW"
2025278,"OMOP4923864","250 ML dobutamine 1 MG/ML / glucose 50 MG/ML Injectable Solution by Baxter","pressors","250 ML dobutamine 1 MG/ML / glucose 50 MG/ML Injectable Solution by Baxter"
2025279,"OMOP4923865","250 ML dobutamine 1 MG/ML / glucose 50 MG/ML Injectable Solution","pressors","250 ML dobutamine 1 MG/ML / glucose 50 MG/ML Injectable Solution"
2025280,"OMOP4923866","250 ML dobutamine 1 MG/ML / glucose 50 MG/ML Injectable Solution by CJ","pressors","250 ML dobutamine 1 MG/ML / glucose 50 MG/ML Injectable Solution by CJ"
2025281,"OMOP4923867","250 ML dobutamine 1 MG/ML / glucose 50 MG/ML Injectable Solution by JW","pressors","250 ML dobutamine 1 MG/ML / glucose 50 MG/ML Injectable Solution by JW"
2025406,"OMOP4923992","200 ML dopamine 4 MG/ML / glucose 50 MG/ML Injectable Solution","pressors","200 ML dopamine 4 MG/ML / glucose 50 MG/ML Injectable Solution"
2025407,"OMOP4923993","200 ML dopamine 4 MG/ML / glucose 50 MG/ML Injectable Solution [CJ DOPAMIX]","pressors","200 ML dopamine 4 MG/ML / glucose 50 MG/ML Injectable Solution [CJ DOPAMIX]"
2025408,"OMOP4923994","200 ML dopamine 4 MG/ML / glucose 50 MG/ML Injectable Solution [CJ DOPAMIX] by CJ","pressors","200 ML dopamine 4 MG/ML / glucose 50 MG/ML Injectable Solution [CJ DOPAMIX] by CJ"
2025409,"OMOP4923995","200 ML dopamine 1 MG/ML / glucose 50 MG/ML Injectable Solution","pressors","200 ML dopamine 1 MG/ML / glucose 50 MG/ML Injectable Solution"
2025410,"OMOP4923996","200 ML dopamine 1 MG/ML / glucose 50 MG/ML Injectable Solution [CJ DOPAMIX]","pressors","200 ML dopamine 1 MG/ML / glucose 50 MG/ML Injectable Solution [CJ DOPAMIX]"
2025411,"OMOP4923997","200 ML dopamine 1 MG/ML / glucose 50 MG/ML Injectable Solution [CJ DOPAMIX] by CJ","pressors","200 ML dopamine 1 MG/ML / glucose 50 MG/ML Injectable Solution [CJ DOPAMIX] by CJ"
2028370,"OMOP4927122","5 ML dopamine 160 MG/ML Prefilled Syringe","pressors","5 ML dopamine 160 MG/ML Prefilled Syringe"
2028371,"OMOP4927123","5 ML dopamine 160 MG/ML Prefilled Syringe by Dongkook","pressors","5 ML dopamine 160 MG/ML Prefilled Syringe by Dongkook"
2028372,"OMOP4927124","5 ML dopamine 80 MG/ML Prefilled Syringe","pressors","5 ML dopamine 80 MG/ML Prefilled Syringe"
2028374,"OMOP4927125","5 ML dopamine 80 MG/ML Prefilled Syringe by Dongkook","pressors","5 ML dopamine 80 MG/ML Prefilled Syringe by Dongkook"
2028375,"OMOP4927126","5 ML dopamine 80 MG/ML Injectable Solution [TROPIN] by Hanlim","pressors","5 ML dopamine 80 MG/ML Injectable Solution [TROPIN] by Hanlim"
2028376,"OMOP4927127","5 ML dopamine 80 MG/ML Injectable Solution [DOPASIN]","pressors","5 ML dopamine 80 MG/ML Injectable Solution [DOPASIN]"
2028377,"OMOP4927128","5 ML dopamine 80 MG/ML Injectable Solution [DOPASIN] by Hana","pressors","5 ML dopamine 80 MG/ML Injectable Solution [DOPASIN] by Hana"
2028378,"OMOP4927129","5 ML dopamine 80 MG/ML Injectable Solution by Dongkook","pressors","5 ML dopamine 80 MG/ML Injectable Solution by Dongkook"
2028379,"OMOP4927130","5 ML dopamine 40 MG/ML Prefilled Syringe by Dongkook","pressors","5 ML dopamine 40 MG/ML Prefilled Syringe by Dongkook"
2028380,"OMOP4927131","5 ML dopamine 40 MG/ML Injectable Solution [TROPIN] by Hanlim","pressors","5 ML dopamine 40 MG/ML Injectable Solution [TROPIN] by Hanlim"
2028381,"OMOP4927132","5 ML dopamine 40 MG/ML Injectable Solution [UDOPA] by Korea United Pharm","pressors","5 ML dopamine 40 MG/ML Injectable Solution [UDOPA] by Korea United Pharm"
2028382,"OMOP4927133","5 ML dopamine 40 MG/ML Injectable Solution [DOPURAMIN] by Reyon","pressors","5 ML dopamine 40 MG/ML Injectable Solution [DOPURAMIN] by Reyon"
2028383,"OMOP4927134","5 ML dopamine 40 MG/ML Injectable Solution [DOPASIN] by Hana","pressors","5 ML dopamine 40 MG/ML Injectable Solution [DOPASIN] by Hana"
2028384,"OMOP4927135","5 ML dopamine 40 MG/ML Injectable Solution by Daewoo","pressors","5 ML dopamine 40 MG/ML Injectable Solution by Daewoo"
2028385,"OMOP4927136","5 ML dopamine 40 MG/ML Injectable Solution by Dongkook","pressors","5 ML dopamine 40 MG/ML Injectable Solution by Dongkook"
2028386,"OMOP4927137","5 ML dopamine 40 MG/ML Injectable Solution by Huons","pressors","5 ML dopamine 40 MG/ML Injectable Solution by Huons"
2028387,"OMOP4927138","5 ML dopamine 40 MG/ML Injectable Solution [MYUNGMOON INOPAN]","pressors","5 ML dopamine 40 MG/ML Injectable Solution [MYUNGMOON INOPAN]"
2028388,"OMOP4927139","5 ML dopamine 40 MG/ML Injectable Solution [MYUNGMOON INOPAN] by Myungmoon","pressors","5 ML dopamine 40 MG/ML Injectable Solution [MYUNGMOON INOPAN] by Myungmoon"
2028389,"OMOP4927140","5 ML dopamine 10 MG/ML Injectable Solution [TROPIN]","pressors","5 ML dopamine 10 MG/ML Injectable Solution [TROPIN]"
2028390,"OMOP4927141","5 ML dopamine 10 MG/ML Injectable Solution [TROPIN] by Hanlim","pressors","5 ML dopamine 10 MG/ML Injectable Solution [TROPIN] by Hanlim"
2028391,"OMOP4927142","5 ML dopamine 10 MG/ML Injectable Solution by Huons","pressors","5 ML dopamine 10 MG/ML Injectable Solution by Huons"
2028392,"OMOP4927143","5 ML dobutamine 50 MG/ML Prefilled Syringe","pressors","5 ML dobutamine 50 MG/ML Prefilled Syringe"
2028393,"OMOP4927144","5 ML dobutamine 50 MG/ML Prefilled Syringe [DOBUMINE]","pressors","5 ML dobutamine 50 MG/ML Prefilled Syringe [DOBUMINE]"
2028394,"OMOP4927145","5 ML dobutamine 50 MG/ML Prefilled Syringe [DOBUMINE] by Dongkook","pressors","5 ML dobutamine 50 MG/ML Prefilled Syringe [DOBUMINE] by Dongkook"
2028395,"OMOP4927146","5 ML dobutamine 50 MG/ML Injectable Solution [TOBUREX] by Reyon","pressors","5 ML dobutamine 50 MG/ML Injectable Solution [TOBUREX] by Reyon"
2028396,"OMOP4927147","5 ML dobutamine 50 MG/ML Injectable Solution [DOBURAN] by Korea United Pharm","pressors","5 ML dobutamine 50 MG/ML Injectable Solution [DOBURAN] by Korea United Pharm"
2028397,"OMOP4927148","5 ML dobutamine 50 MG/ML Injectable Solution by Hana","pressors","5 ML dobutamine 50 MG/ML Injectable Solution by Hana"
2028398,"OMOP4927149","5 ML dobutamine 50 MG/ML Injectable Solution by Huons","pressors","5 ML dobutamine 50 MG/ML Injectable Solution by Huons"
2028399,"OMOP4927150","5 ML dobutamine 50 MG/ML Injectable Solution by Myungmoon","pressors","5 ML dobutamine 50 MG/ML Injectable Solution by Myungmoon"
2028400,"OMOP4927151","5 ML dobutamine 50 MG/ML Injectable Solution [DOBUMINE]","pressors","5 ML dobutamine 50 MG/ML Injectable Solution [DOBUMINE]"
2028401,"OMOP4927152","5 ML dobutamine 50 MG/ML Injectable Solution [DOBUMINE] by Dongkook","pressors","5 ML dobutamine 50 MG/ML Injectable Solution [DOBUMINE] by Dongkook"
2031969,"OMOP4930876","1 ML vasopressin (USP) 20 UNT/ML Injectable Solution by Hanlim","pressors","1 ML vasopressin (USP) 20 UNT/ML Injectable Solution by Hanlim"
2062424,"OMOP4963676","dopamine 4 MG/ML / glucose 50 MG/ML Injectable Solution","pressors","dopamine 4 MG/ML / glucose 50 MG/ML Injectable Solution"
2062425,"OMOP4963677","dopamine 4 MG/ML / glucose 50 MG/ML Injectable Solution [CJ DOPAMIX]","pressors","dopamine 4 MG/ML / glucose 50 MG/ML Injectable Solution [CJ DOPAMIX]"
2062426,"OMOP4963678","dopamine 4 MG/ML / glucose 50 MG/ML [CJ DOPAMIX]","pressors","dopamine 4 MG/ML / glucose 50 MG/ML [CJ DOPAMIX]"
2062427,"OMOP4963679","dopamine 1 MG/ML / glucose 50 MG/ML Injectable Solution","pressors","dopamine 1 MG/ML / glucose 50 MG/ML Injectable Solution"
2062428,"OMOP4963680","dopamine 1 MG/ML / glucose 50 MG/ML Injectable Solution [CJ DOPAMIX]","pressors","dopamine 1 MG/ML / glucose 50 MG/ML Injectable Solution [CJ DOPAMIX]"
2062429,"OMOP4963681","dopamine 1 MG/ML / glucose 50 MG/ML [CJ DOPAMIX]","pressors","dopamine 1 MG/ML / glucose 50 MG/ML [CJ DOPAMIX]"
2062430,"OMOP4963682","dopamine / glucose Injectable Solution [CJ DOPAMIX]","pressors","dopamine / glucose Injectable Solution [CJ DOPAMIX]"
2062431,"OMOP4963683","dopamine 160 MG/ML Prefilled Syringe","pressors","dopamine 160 MG/ML Prefilled Syringe"
2062432,"OMOP4963684","dopamine 80 MG/ML Prefilled Syringe","pressors","dopamine 80 MG/ML Prefilled Syringe"
2062433,"OMOP4963685","dopamine 80 MG/ML Injectable Solution [DOPASIN]","pressors","dopamine 80 MG/ML Injectable Solution [DOPASIN]"
2062434,"OMOP4963686","dopamine 80 MG/ML [DOPASIN]","pressors","dopamine 80 MG/ML [DOPASIN]"
2062435,"OMOP4963687","dopamine 40 MG/ML Injectable Solution [MYUNGMOON INOPAN]","pressors","dopamine 40 MG/ML Injectable Solution [MYUNGMOON INOPAN]"
2062436,"OMOP4963688","dopamine 40 MG/ML [MYUNGMOON INOPAN]","pressors","dopamine 40 MG/ML [MYUNGMOON INOPAN]"
2062437,"OMOP4963689","dopamine 10 MG/ML Injectable Solution [TROPIN]","pressors","dopamine 10 MG/ML Injectable Solution [TROPIN]"
2062438,"OMOP4963690","dopamine 10 MG/ML [TROPIN]","pressors","dopamine 10 MG/ML [TROPIN]"
2062439,"OMOP4963691","dopamine Injectable Solution [MYUNGMOON INOPAN]","pressors","dopamine Injectable Solution [MYUNGMOON INOPAN]"
2062440,"OMOP4963692","dobutamine 4 MG/ML / glucose 50 MG/ML Injectable Solution","pressors","dobutamine 4 MG/ML / glucose 50 MG/ML Injectable Solution"
2062441,"OMOP4963693","dobutamine 50 MG/ML Prefilled Syringe","pressors","dobutamine 50 MG/ML Prefilled Syringe"
2062442,"OMOP4963694","dobutamine 50 MG/ML Prefilled Syringe [DOBUMINE]","pressors","dobutamine 50 MG/ML Prefilled Syringe [DOBUMINE]"
2062443,"OMOP4963695","dobutamine 50 MG/ML Injectable Solution [DOBUMINE]","pressors","dobutamine 50 MG/ML Injectable Solution [DOBUMINE]"
2062444,"OMOP4963696","dobutamine 50 MG/ML [DOBUMINE]","pressors","dobutamine 50 MG/ML [DOBUMINE]"
2062445,"OMOP4963697","dobutamine Prefilled Syringe [DOBUMINE]","pressors","dobutamine Prefilled Syringe [DOBUMINE]"
2062446,"OMOP4963698","dobutamine Injectable Solution [DOBUMINE]","pressors","dobutamine Injectable Solution [DOBUMINE]"
19039813,"208841","vasopressin (USP) 20 UNT/ML Injectable Solution [Pitressin]","pressors","vasopressin (USP) 20 UNT/ML Injectable Solution [Pitressin]"
19065473,"252860","dobutamine 50 MG/ML Injectable Solution","pressors","dobutamine 50 MG/ML Injectable Solution"
19076657,"309984","dobutamine 0.5 MG/ML Injectable Solution","pressors","dobutamine 0.5 MG/ML Injectable Solution"
19076658,"309985","250 ML dobutamine 1 MG/ML Injection","pressors","250 ML dobutamine 1 MG/ML Injection"
19076659,"309986","250 ML dobutamine 2 MG/ML Injection","pressors","250 ML dobutamine 2 MG/ML Injection"
19076660,"309987","250 ML dobutamine 4 MG/ML Injection","pressors","250 ML dobutamine 4 MG/ML Injection"
19076867,"310116","epinephrine 0.1 MG/ML Injectable Solution","pressors","epinephrine 0.1 MG/ML Injectable Solution"
19076899,"310132","epinephrine 1 MG/ML Injectable Solution","pressors","epinephrine 1 MG/ML Injectable Solution"
19084849,"330297","vasopressin (USP) 5 UNT/ML","pressors","vasopressin (USP) 5 UNT/ML"
19091005,"334605","dobutamine 50 MG/ML","pressors","dobutamine 50 MG/ML"
19118739,"569490","vasopressin (USP) 20 UNT/ML [Pitressin]","pressors","vasopressin (USP) 20 UNT/ML [Pitressin]"
21022935,"OMOP361499","Milrinone 0.4 MG/ML","pressors","Milrinone 0.4 MG/ML"
21026990,"OMOP269855","Dopamine 40 MG/ML Prefilled Syringe Box of 1","pressors","Dopamine 40 MG/ML Prefilled Syringe Box of 1"
21028967,"OMOP307734","5 ML Dobutamine 50 MG/ML Injection Box of 5","pressors","5 ML Dobutamine 50 MG/ML Injection Box of 5"
21029021,"OMOP308825","5 ML Dopamine 40 MG/ML Prefilled Syringe by UCB","pressors","5 ML Dopamine 40 MG/ML Prefilled Syringe by UCB"
21029495,"OMOP318123","50 ML Milrinone 0.4 MG/ML Injection Box of 1","pressors","50 ML Milrinone 0.4 MG/ML Injection Box of 1"
21032682,"OMOP361509","Milrinone 0.6 MG/ML","pressors","Milrinone 0.6 MG/ML"
21034043,"OMOP385774","Dobutamine 12.5 MG/ML Injection Box of 1","pressors","Dobutamine 12.5 MG/ML Injection Box of 1"
21036806,"OMOP269850","Dopamine 4 MG/ML Injection","pressors","Dopamine 4 MG/ML Injection"
21036807,"OMOP269861","Dopamine 160 MG/ML Injection Box of 5","pressors","Dopamine 160 MG/ML Injection Box of 5"
21038825,"OMOP308847","5 ML Dopamine 160 MG/ML Injection by AMCo","pressors","5 ML Dopamine 160 MG/ML Injection by AMCo"
21038826,"OMOP308857","5 ML Dopamine 160 MG/ML Injection Box of 10 by Martindale","pressors","5 ML Dopamine 160 MG/ML Injection Box of 10 by Martindale"
21039362,"OMOP318125","50 ML Milrinone 0.2 MG/ML Injection","pressors","50 ML Milrinone 0.2 MG/ML Injection"
21039417,"OMOP319338","50 ML Dopamine 4 MG/ML Injection","pressors","50 ML Dopamine 4 MG/ML Injection"
21042605,"OMOP361501","Milrinone 0.4 MG/ML Injection Box of 1","pressors","Milrinone 0.4 MG/ML Injection Box of 1"
21042606,"OMOP361503","Milrinone 1 MG/ML [Primacor]","pressors","Milrinone 1 MG/ML [Primacor]"
21048644,"OMOP308840","5 ML Dopamine 40 MG/ML Injection Box of 10 by A A H","pressors","5 ML Dopamine 40 MG/ML Injection Box of 10 by A A H"
21048645,"OMOP308841","5 ML Dopamine 40 MG/ML Injection Box of 10 by Martindale","pressors","5 ML Dopamine 40 MG/ML Injection Box of 10 by Martindale"
21048646,"OMOP308855","5 ML Dopamine 160 MG/ML Injection Box of 10 by AMCo","pressors","5 ML Dopamine 160 MG/ML Injection Box of 10 by AMCo"
21049822,"OMOP328407","250 ML Dopamine 3.2 MG/ML Prefilled Syringe Box of 1 by Abbott","pressors","250 ML Dopamine 3.2 MG/ML Prefilled Syringe Box of 1 by Abbott"
21053745,"OMOP385780","Dobutamine 50 MG/ML Injection [Posiject] Box of 5","pressors","Dobutamine 50 MG/ML Injection [Posiject] Box of 5"
21058389,"OMOP308838","5 ML Dopamine 40 MG/ML Injection Box of 10","pressors","5 ML Dopamine 40 MG/ML Injection Box of 10"
21058390,"OMOP308843","5 ML Dopamine 40 MG/ML Injection Box of 50","pressors","5 ML Dopamine 40 MG/ML Injection Box of 50"
21058466,"OMOP310240","10 ML Milrinone 1 MG/ML Prefilled Syringe [Primacor] Box of 10 by Sanofi","pressors","10 ML Milrinone 1 MG/ML Prefilled Syringe [Primacor] Box of 10 by Sanofi"
21058655,"OMOP313683","20 ML Dobutamine 12.5 MG/ML Injection by A A H","pressors","20 ML Dobutamine 12.5 MG/ML Injection by A A H"
21058656,"OMOP313692","20 ML Dobutamine 12.5 MG/ML Injection [Dobutrex] by Lilly","pressors","20 ML Dobutamine 12.5 MG/ML Injection [Dobutrex] by Lilly"
21058938,"OMOP318120","50 ML Milrinone 0.4 MG/ML Injection","pressors","50 ML Milrinone 0.4 MG/ML Injection"
21059614,"OMOP328404","250 ML Dopamine 3.2 MG/ML Prefilled Syringe by Abbott","pressors","250 ML Dopamine 3.2 MG/ML Prefilled Syringe by Abbott"
21062209,"OMOP361500","Milrinone 0.4 MG/ML Injection","pressors","Milrinone 0.4 MG/ML Injection"
21062210,"OMOP361502","Milrinone 0.2 MG/ML Injection Box of 1","pressors","Milrinone 0.2 MG/ML Injection Box of 1"
21066264,"OMOP269862","Dopamine 160 MG/ML Injection Box of 10","pressors","Dopamine 160 MG/ML Injection Box of 10"
21068320,"OMOP308830","5 ML Dopamine 40 MG/ML Injection by AMCo","pressors","5 ML Dopamine 40 MG/ML Injection by AMCo"
21068321,"OMOP308837","5 ML Dopamine 40 MG/ML Injection Box of 5 by A A H","pressors","5 ML Dopamine 40 MG/ML Injection Box of 5 by A A H"
21068322,"OMOP308845","5 ML Dopamine 40 MG/ML Injection Box of 50 by Alliance","pressors","5 ML Dopamine 40 MG/ML Injection Box of 50 by Alliance"
21068602,"OMOP313685","20 ML Dobutamine 12.5 MG/ML Injection by Wockhardt","pressors","20 ML Dobutamine 12.5 MG/ML Injection by Wockhardt"
21068603,"OMOP313694","20 ML Dobutamine 12.5 MG/ML Injection [Dobutrex] Box of 1 by Lilly","pressors","20 ML Dobutamine 12.5 MG/ML Injection [Dobutrex] Box of 1 by Lilly"
21073484,"OMOP385771","Dobutamine Injection [Posiject]","pressors","Dobutamine Injection [Posiject]"
21078129,"OMOP308833","5 ML Dopamine 40 MG/ML Injection by Martindale","pressors","5 ML Dopamine 40 MG/ML Injection by Martindale"
21078130,"OMOP308850","5 ML Dopamine 160 MG/ML Injection Box of 5","pressors","5 ML Dopamine 160 MG/ML Injection Box of 5"
21078184,"OMOP310237","10 ML Milrinone 1 MG/ML Prefilled Syringe [Primacor]","pressors","10 ML Milrinone 1 MG/ML Prefilled Syringe [Primacor]"
