"concept_id","concept_name","concept_code","vocabulary_id","cluster","syndromic","systemic","clinician_interest","cluster_category","chronic_flag","included_in_ps_model"
45538704,"Flat foot [pes planus] (acquired), left foot","M21.42","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45566472,"Acquired absence of right great toe","Z89.411","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45547366,"Acquired absence of left upper limb above elbow","Z89.222","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45543513,"Other hammer toe(s) (acquired), right foot","M20.41","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
35209148,"Acquired deformity of musculoskeletal system, unspecified","M95.9","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45576213,"Acquired partial absence of pancreas","Z90.411","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45587221,"Cauliflower ear, left ear","M95.12","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45562668,"Acquired clawhand, right hand","M21.511","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45543522,"Unspecified acquired deformity of hand, right hand","M21.941","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45577188,"Other hammer toe(s) (acquired), left foot","M20.42","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45547369,"Acquired absence of unspecified ankle","Z89.449","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45596511,"Swan-neck deformity of unspecified finger(s)","M20.039","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45567495,"Unequal limb length (acquired), unspecified humerus","M21.729","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45601408,"Contracture, left foot","M24.575","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45582080,"Other deformity of finger(s), unspecified finger(s)","M20.099","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45543520,"Unequal limb length (acquired), left humerus","M21.722","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
37200698,"Bunionette of left foot","M21.622","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45533775,"Swan-neck deformity of right finger(s)","M20.031","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45601406,"Contracture, unspecified shoulder","M24.519","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45537695,"Acquired absence of unspecified hip joint","Z89.629","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45562669,"Acquired clubhand, right hand","M21.521","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45591770,"Unequal limb length (acquired), unspecified site","M21.70","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45567496,"Unequal limb length (acquired), right tibia","M21.761","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
35209143,"Other acquired deformity of head","M95.2","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45557827,"Other specified acquired deformities of unspecified lower leg","M21.869","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45596525,"Unspecified acquired deformity of right upper arm","M21.921","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45538707,"Other specified acquired deformities of right forearm","M21.831","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45606153,"Hallux varus (acquired), right foot","M20.31","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45606155,"Valgus deformity, not elsewhere classified, unspecified ankle","M21.079","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45557823,"Valgus deformity, not elsewhere classified, unspecified knee","M21.069","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45577192,"Acquired clubhand, left hand","M21.522","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45556878,"Acquired absence of ovaries, unilateral","Z90.721","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45601384,"Unspecified acquired deformity of unspecified limb","M21.90","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45538700,"Hallux valgus (acquired), unspecified foot","M20.10","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
35225373,"Acquired absence of limb, unspecified","Z89.9","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45601386,"Unspecified acquired deformity of hand, left hand","M21.942","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45600374,"Acquired absence of eye","Z90.01","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45576210,"Acquired absence of other part of head and neck","Z90.09","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45596518,"Flexion deformity, unspecified site","M21.20","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45586918,"Unspecified acquired deformity of unspecified thigh","M21.959","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45557822,"Valgus deformity, not elsewhere classified, unspecified hip","M21.059","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45562662,"Unspecified deformity of unspecified finger(s)","M20.009","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45596542,"Contracture, left hand","M24.542","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45542487,"Acquired absence of spleen","Z90.81","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45606468,"Cauliflower ear, right ear","M95.11","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45606159,"Varus deformity, not elsewhere classified, unspecified","M21.159","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
35225379,"Acquired absence of other parts of urinary tract","Z90.6","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
35209142,"Acquired deformity of nose","M95.0","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45582086,"Acquired clawhand, unspecified hand","M21.519","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45538703,"Foot drop, left foot","M21.372","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45543511,"Hallux varus (acquired), unspecified foot","M20.30","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45543836,"Cauliflower ear, unspecified ear","M95.10","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45557825,"Flexion deformity, left finger joints","M21.242","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45577196,"Unspecified acquired deformity of unspecified lower leg","M21.969","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45601385,"Unspecified acquired deformity of left forearm","M21.932","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45606161,"Flexion deformity, unspecified wrist","M21.239","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45542483,"Acquired absence of left knee","Z89.522","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
725385,"Contracture, other specified joint","M24.59","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45552134,"Acquired absence of right upper limb below elbow","Z89.211","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45576206,"Acquired absence of right hand","Z89.111","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45538706,"Unequal limb length (acquired), right femur","M21.751","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45582082,"Valgus deformity, not elsewhere classified, right hip","M21.051","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
37200699,"Bunionette of unspecified foot","M21.629","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45577193,"Acquired clubfoot, right foot","M21.541","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45596543,"Contracture, unspecified foot","M24.576","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
35225376,"Acquired absence of stomach [part of]","Z90.3","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45601382,"Flexion deformity, unspecified knee","M21.269","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45600371,"Acquired absence of left ankle","Z89.442","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45606162,"Flat foot [pes planus] (acquired), unspecified foot","M21.40","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45538708,"Other specified acquired deformities of right thigh","M21.851","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45591771,"Unequal limb length (acquired), right radius","M21.733","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45600368,"Acquired absence of left shoulder","Z89.232","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45552137,"Acquired absence of right knee","Z89.521","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45586914,"Flexion deformity, right hip","M21.251","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45576208,"Acquired absence of unspecified upper limb below elbow","Z89.219","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45542481,"Acquired absence of unspecified shoulder","Z89.239","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45606158,"Varus deformity, not elsewhere classified, unspecified elbow","M21.129","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45562663,"Hallux rigidus, left foot","M20.22","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45543518,"Wrist drop, right wrist","M21.331","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45533780,"Foot drop, unspecified foot","M21.379","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45533776,"Other hammer toe(s) (acquired), unspecified foot","M20.40","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45557821,"Valgus deformity, not elsewhere classified, unspecified site","M21.00","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45537697,"Acquired absence of both cervix and uterus","Z90.710","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45533781,"Flat foot [pes planus] (acquired), right foot","M21.41","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45596520,"Wrist drop, left wrist","M21.332","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45537692,"Acquired absence of left leg below knee","Z89.512","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45586912,"Boutonniere deformity of right finger(s)","M20.021","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45543510,"Other deformity of right finger(s)","M20.091","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45553115,"Flexion deformity, left elbow","M21.222","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45609989,"Acquired absence of left hand","Z89.112","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45533802,"Contracture, left hip","M24.552","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45567497,"Other specified acquired deformities of unspecified limb","M21.80","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45537698,"Acquired absence of other organs","Z90.89","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45576203,"Acquired absence of right thumb","Z89.011","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45552135,"Acquired absence of right upper limb above elbow","Z89.221","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45538705,"Unequal limb length (acquired), unspecified ulna and radius","M21.739","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45547370,"Acquired absence of unspecified breast and nipple","Z90.10","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45557824,"Valgus deformity, not elsewhere classified, left ankle","M21.072","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45571402,"Acquired absence of bilateral breasts and nipples","Z90.13","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45576209,"Acquired absence of other toe(s), unspecified side","Z89.429","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45542482,"Acquired absence of unspecified foot","Z89.439","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45595554,"Acquired absence of right upper limb, unspecified level","Z89.201","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45567491,"Varus deformity, not elsewhere classified, left ankle","M21.172","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45596515,"Valgus deformity, not elsewhere classified, unspecified elbow","M21.029","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45576204,"Acquired absence of right finger(s)","Z89.021","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45553118,"Unequal limb length (acquired), unspecified tibia and fibula","M21.769","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45538701,"Flexion deformity, left ankle and toes","M21.272","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45606167,"Other specified acquired deformities of left forearm","M21.832","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45543521,"Other specified acquired deformities of right lower leg","M21.861","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45553111,"Mallet finger of unspecified finger(s)","M20.019","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45606185,"Contracture, right foot","M24.574","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45595559,"Acquired absence of larynx","Z90.02","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45548349,"Flexion deformity, unspecified hip","M21.259","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45562670,"Unequal limb length (acquired), right fibula","M21.763","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45572394,"Other specified acquired deformities of unspecified forearm","M21.839","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45548345,"Acquired deformities of toe(s), unspecified, unspecified foot","M20.60","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45577195,"Other specified acquired deformities of left thigh","M21.852","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45548353,"Unequal limb length (acquired), right humerus","M21.721","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45596516,"Valgus deformity, not elsewhere classified, left knee","M21.062","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45586916,"Unspecified acquired deformity of left upper arm","M21.922","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45606157,"Varus deformity, not elsewhere classified, left elbow","M21.122","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
35209145,"Acquired deformity of chest and rib","M95.4","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45577213,"Contracture, right hip","M24.551","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45581085,"Acquired absence of other right toe(s)","Z89.421","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45605170,"Acquired absence of unspecified leg below knee","Z89.519","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45533779,"Flexion deformity, unspecified shoulder","M21.219","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45606160,"Flexion deformity, right shoulder","M21.211","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45543514,"Acquired deformities of toe(s), unspecified, right foot","M20.61","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45591766,"Swan-neck deformity of left finger(s)","M20.032","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45591768,"Other deformities of toe(s) (acquired), right foot","M20.5X1","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45553142,"Contracture, left ankle","M24.572","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45582087,"Acquired clubhand, unspecified hand","M21.529","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45567519,"Contracture, left knee","M24.562","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45538702,"Wrist drop, unspecified wrist","M21.339","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
37200695,"Bunion of unspecified foot","M21.619","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45586917,"Unspecified acquired deformity of left thigh","M21.952","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45596519,"Flexion deformity, left knee","M21.262","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45557845,"Contracture, right elbow","M24.521","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45596512,"Hallux valgus (acquired), right foot","M20.11","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45567490,"Varus deformity, not elsewhere classified, right hip","M21.151","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45591772,"Unequal limb length (acquired), unspecified femur","M21.759","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45596514,"Valgus deformity, not elsewhere classified, left elbow","M21.022","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45591773,"Unequal limb length (acquired), left fibula","M21.764","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45609991,"Acquired absence of left foot","Z89.432","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45596521,"Foot drop, right foot","M21.371","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45582104,"Contracture, right ankle","M24.571","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
35225375,"Acquired absence of lung [part of]","Z90.2","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45538729,"Contracture, unspecified knee","M24.569","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45601380,"Valgus deformity, not elsewhere classified, right ankle","M21.071","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45586913,"Flexion deformity, unspecified finger joints","M21.249","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
35209144,"Acquired deformity of neck","M95.3","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45577189,"Varus deformity, not elsewhere classified, right knee","M21.161","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45552133,"Acquired absence of left finger(s)","Z89.022","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45553120,"Unspecified acquired deformity of right lower leg","M21.961","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
37200697,"Bunionette of right foot","M21.621","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45577214,"Contracture, unspecified hip","M24.559","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45553114,"Valgus deformity, not elsewhere classified, left hip","M21.052","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45547364,"Acquired absence of left wrist","Z89.122","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45572395,"Unspecified acquired deformity of hand, unspecified hand","M21.949","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45596523,"Unequal limb length (acquired), left ulna","M21.732","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45577187,"Mallet finger of right finger(s)","M20.011","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45582083,"Varus deformity, not elsewhere classified, unspecified knee","M21.169","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45591769,"Flexion deformity, right ankle and toes","M21.271","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45576207,"Acquired absence of right wrist","Z89.121","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45562667,"Varus deformity, not elsewhere classified, unspecified ankle","M21.179","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45595557,"Acquired absence of right leg below knee","Z89.511","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45606165,"Unequal limb length (acquired), right ulna","M21.731","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45557846,"Contracture, left elbow","M24.522","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45567518,"Contracture, right hand","M24.541","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45585871,"Acquired absence of unspecified thumb","Z89.019","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45605169,"Acquired absence of other left toe(s)","Z89.422","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45562688,"Contracture, left shoulder","M24.512","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
