CCSR Domain,CCSR CATEGORY 1,CCSR CATEGORY 1 (PASC) DESCRIPTION,ICD-10-CM Code,ICD-10-CM Code Description,Symptomatic,Measured,syndromic,systemic,clincian_interest,cluster_category,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,A08,Viral and other specified intestinal infections,,1,0,1,clinician,Gastrointestinal,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,A081,Acute gastroenteropathy due to Norwalk agent and other small round viruses,,1,0,1,clinician,Gastrointestinal,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,A083,Other viral enteritis,,1,0,1,clinician,Gastrointestinal,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,A85,"Other viral encephalitis, not elsewhere classified",,1,0,1,agnostic,Neurodevelopment,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,B001,Herpesviral vesicular dermatitis,,1,0,1,agnostic,Dermatology,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,B0089,Other herpesviral infection,,1,0,1,agnostic,Infections,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,B009,"Herpesviral infection, unspecified",,1,0,1,agnostic,Infections,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,B011,"Varicella encephalitis, myelitis and encephalomyelitis",,1,0,1,agnostic,Neurodevelopment,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,B0189,Other varicella complications,,1,0,1,agnostic,Infections,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,B019,Varicella without complication,,1,0,1,agnostic,Infections,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,B020,Zoster encephalitis,,1,0,1,agnostic,Neurodevelopment,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,B021,Zoster meningitis,,1,0,1,agnostic,Infections,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,B0221,Postherpetic geniculate ganglionitis,,1,0,1,agnostic,Neurodevelopment,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,B0222,Postherpetic trigeminal neuralgia,,1,0,1,agnostic,Neurodevelopment,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,B0223,Postherpetic polyneuropathy,,1,0,1,agnostic,Neurodevelopment,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,B0224,Postherpetic myelitis,,1,0,1,agnostic,Infections,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,B0229,Other postherpetic nervous system involvement,,1,0,1,agnostic,Infections,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,B027,Disseminated zoster,,1,0,1,agnostic,Infections,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,B028,Zoster with other complications,,1,0,1,agnostic,Infections,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,B029,Zoster without complications,,1,0,1,agnostic,Infections,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,B09,Unspecified viral infection characterized by skin and mucous membrane lesions,,1,0,1,agnostic,Infections,,,,,,,,,,
Certain Infectious and Parasitic Diseases,INF008,Viral infection,B330,Epidemic myalgia,,1,0,1,agnostic,Infections,,,,,,,,,,
Certain Infectious and Parasitic Diseases,CIR005,Myocarditis and cardiomyopathy,B3320,"Viral carditis, unspecified",,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Certain Infectious and Parasitic Diseases,CIR005,Myocarditis and cardiomyopathy,B3322,Viral myocarditis,,1,0,1,clinician,Cardiovascular,,,,,,,,,,
Certain Infectious and Parasitic Diseases,CIR006,Pericarditis and pericardial disease,B3323,Viral pericarditis,,1,0,1,clinician,Cardiovascular,,,,,,,,,,
Certain Infectious and Parasitic Diseases,CIR005,Myocarditis and cardiomyopathy,B3324,Viral cardiomyopathy,,1,0,1,clinician,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR032,Other specified and unspecified circulatory disease,E0851,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy without gangrene,,,0,1,clinician,Endocrine,,,,,,,,,,
Diseases of the Circulatory System,CIR028,Gangrene,E0852,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy with gangrene,,1,0,1,clinician,Endocrine,,,,,,,,,,
Diseases of the Circulatory System,CIR028,Gangrene,E0952,Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy with gangrene,,1,0,1,clinician,Endocrine,,,,,,,,,,
Diseases of the Circulatory System,CIR032,Other specified and unspecified circulatory disease,E1051,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene,,,0,1,clinician,Endocrine,,,,,,,,,,
Diseases of the Circulatory System,CIR032,Other specified and unspecified circulatory disease,E1051,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene,,,,,clinician,Endocrine,,,,,,,,,,
Diseases of the Circulatory System,CIR028,Gangrene,E1052,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene,,1,0,1,clinician,Endocrine,,,,,,,,,,
Diseases of the Circulatory System,CIR028,Gangrene,E1052,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene,,,,,clinician,Endocrine,,,,,,,,,,
Diseases of the Circulatory System,,Diabetes mellitus with complication,E115,Type 2 diabetes mellitus with circulatory complications,,,,,clinician,Endocrine,,,,,,,,,,
Diseases of the Circulatory System,CIR032,Other specified and unspecified circulatory disease,E1151,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene,,,0,1,clinician,Endocrine,,,,,,,,,,
Diseases of the Circulatory System,CIR032,Diabetes mellitus with complication,E1151,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene,,,X,Type 2 Diabetes,clinician,Endocrine,,,,,,,,,,
Diseases of the Circulatory System,CIR028,Gangrene,E1152,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,,1,0,1,clinician,Endocrine,,,,,,,,,,
Diseases of the Circulatory System,CIR028,Diabetes mellitus with complication,E1152,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,,,X,Type 2 Diabetes,clinician,Endocrine,,,,,,,,,,
Diseases of the Circulatory System,CIR032,Other specified and unspecified circulatory disease,E1351,Other specified diabetes mellitus with diabetic peripheral angiopathy without gangrene,,,0,1,clinician,Endocrine,,,,,,,,,,
Diseases of the Circulatory System,CIR032,Other specified and unspecified circulatory disease,E1351,Other specified diabetes mellitus with diabetic peripheral angiopathy without gangrene,,,,,clinician,Endocrine,,,,,,,,,,
Diseases of the Circulatory System,CIR028,Gangrene,E1352,Other specified diabetes mellitus with diabetic peripheral angiopathy with gangrene,,1,0,1,clinician,Endocrine,,,,,,,,,,
Diseases of the Circulatory System,CIR028,Gangrene,E1352,Other specified diabetes mellitus with diabetic peripheral angiopathy with gangrene,,,,,clinician,Endocrine,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I200,Unstable angina,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I201,Angina pectoris with documented spasm,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I208,Other forms of angina pectoris,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I209,"Angina pectoris, unspecified",,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR009,Acute myocardial infarction,I2101,ST elevation (STEMI) myocardial infarction involving left main coronary artery,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR009,Acute myocardial infarction,I2102,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR009,Acute myocardial infarction,I2109,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR009,Acute myocardial infarction,I2111,ST elevation (STEMI) myocardial infarction involving right coronary artery,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR009,Acute myocardial infarction,I2119,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR009,Acute myocardial infarction,I2121,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR009,Acute myocardial infarction,I2129,ST elevation (STEMI) myocardial infarction involving other sites,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR009,Acute myocardial infarction,I213,ST elevation (STEMI) myocardial infarction of unspecified site,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR009,Acute myocardial infarction,I214,Non-ST elevation (NSTEMI) myocardial infarction,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR009,Acute myocardial infarction,I219,"Acute myocardial infarction, unspecified",,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR009,Acute myocardial infarction,I21A1,Myocardial infarction type 2,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR009,Acute myocardial infarction,I21A9,Other myocardial infarction type,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR009,Acute myocardial infarction,I220,Subsequent ST elevation (STEMI) myocardial infarction of anterior wall,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR009,Acute myocardial infarction,I221,Subsequent ST elevation (STEMI) myocardial infarction of inferior wall,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR009,Acute myocardial infarction,I222,Subsequent non-ST elevation (NSTEMI) myocardial infarction,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR009,Acute myocardial infarction,I228,Subsequent ST elevation (STEMI) myocardial infarction of other sites,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR009,Acute myocardial infarction,I229,Subsequent ST elevation (STEMI) myocardial infarction of unspecified site,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I240,Acute coronary thrombosis not resulting in myocardial infarction,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I248,Other forms of acute ischemic heart disease,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I249,"Acute ischemic heart disease, unspecified",,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I2510,Atherosclerotic heart disease of native coronary artery without angina pectoris,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25110,Atherosclerotic heart disease of native coronary artery with unstable angina pectoris,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25111,Atherosclerotic heart disease of native coronary artery with angina pectoris with documented spasm,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25118,Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25119,Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I252,Old myocardial infarction,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR015,Other and ill-defined heart disease,I253,Aneurysm of heart,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR015,Other and ill-defined heart disease,I2541,Coronary artery aneurysm,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR027,Arterial dissections,I2542,Coronary artery dissection,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR005,Myocarditis and cardiomyopathy,I255,Ischemic cardiomyopathy,,1,0,1,clinician,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I256,Silent myocardial ischemia,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25700,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with unstable angina pectoris",,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25701,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with angina pectoris with documented spasm",,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25708,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with other forms of angina pectoris",,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25709,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with unspecified angina pectoris",,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25710,Atherosclerosis of autologous vein coronary artery bypass graft(s) with unstable angina pectoris,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25711,Atherosclerosis of autologous vein coronary artery bypass graft(s) with angina pectoris with documented spasm,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25718,Atherosclerosis of autologous vein coronary artery bypass graft(s) with other forms of angina pectoris,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25719,Atherosclerosis of autologous vein coronary artery bypass graft(s) with unspecified angina pectoris,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25720,Atherosclerosis of autologous artery coronary artery bypass graft(s) with unstable angina pectoris,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25721,Atherosclerosis of autologous artery coronary artery bypass graft(s) with angina pectoris with documented spasm,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25728,Atherosclerosis of autologous artery coronary artery bypass graft(s) with other forms of angina pectoris,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25729,Atherosclerosis of autologous artery coronary artery bypass graft(s) with unspecified angina pectoris,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25730,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unstable angina pectoris,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25731,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with angina pectoris with documented spasm,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25738,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with other forms of angina pectoris,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25739,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unspecified angina pectoris,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25750,Atherosclerosis of native coronary artery of transplanted heart with unstable angina,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25751,Atherosclerosis of native coronary artery of transplanted heart with angina pectoris with documented spasm,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25758,Atherosclerosis of native coronary artery of transplanted heart with other forms of angina pectoris,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25759,Atherosclerosis of native coronary artery of transplanted heart with unspecified angina pectoris,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25760,Atherosclerosis of bypass graft of coronary artery of transplanted heart with unstable angina,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25761,Atherosclerosis of bypass graft of coronary artery of transplanted heart with angina pectoris with documented spasm,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25768,Atherosclerosis of bypass graft of coronary artery of transplanted heart with other forms of angina pectoris,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25769,Atherosclerosis of bypass graft of coronary artery of transplanted heart with unspecified angina pectoris,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25790,Atherosclerosis of other coronary artery bypass graft(s) with unstable angina pectoris,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25791,Atherosclerosis of other coronary artery bypass graft(s) with angina pectoris with documented spasm,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25798,Atherosclerosis of other coronary artery bypass graft(s) with other forms of angina pectoris,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
Diseases of the Circulatory System,CIR011,Coronary atherosclerosis and other heart disease,I25799,Atherosclerosis of other coronary artery bypass graft(s) with unspecified angina pectoris,,1,0,1,agnostic,Cardiovascular,,,,,,,,,,
