concept_id,description,body_system,progressive
35206121,"Malignant neoplasm of greater curvature of stomach, unspecified",malignancy,n/a
45576303,Malignant neoplasm of overlapping sites of stomach,malignancy,n/a
35206122,Malignant neoplasm of overlapping sites of stomach,malignancy,n/a
45571490,"Malignant neoplasm of stomach, unspecified",malignancy,n/a
35206123,"Malignant neoplasm of stomach, unspecified",malignancy,n/a
45552245,Malignant neoplasm of duodenum,malignancy,n/a
35206124,Malignant neoplasm of duodenum,malignancy,n/a
45566576,Malignant neoplasm of jejunum,malignancy,n/a
35206125,Malignant neoplasm of jejunum,malignancy,n/a
45600484,Malignant neoplasm of ileum,malignancy,n/a
35206126,Malignant neoplasm of ileum,malignancy,n/a
45576304,"Meckel''s diverticulum, malignant",malignancy,n/a
35206127,"Meckel''s diverticulum, malignant",malignancy,n/a
45532895,Malignant neoplasm of overlapping sites of small intestine,malignancy,n/a
35206128,Malignant neoplasm of overlapping sites of small intestine,malignancy,n/a
45561788,"Malignant neoplasm of small intestine, unspecified",malignancy,n/a
35206129,"Malignant neoplasm of small intestine, unspecified",malignancy,n/a
45542586,Malignant neoplasm of cecum,malignancy,n/a
35206130,Malignant neoplasm of cecum,malignancy,n/a
45595640,Malignant neoplasm of appendix,malignancy,n/a
35206131,Malignant neoplasm of appendix,malignancy,n/a
45600485,Malignant neoplasm of ascending colon,malignancy,n/a
35206132,Malignant neoplasm of ascending colon,malignancy,n/a
45561789,Malignant neoplasm of hepatic flexure,malignancy,n/a
35206133,Malignant neoplasm of hepatic flexure,malignancy,n/a
45585986,Malignant neoplasm of transverse colon,malignancy,n/a
35206134,Malignant neoplasm of transverse colon,malignancy,n/a
45556965,Malignant neoplasm of splenic flexure,malignancy,n/a
35206135,Malignant neoplasm of splenic flexure,malignancy,n/a
45552246,Malignant neoplasm of descending colon,malignancy,n/a
35206136,Malignant neoplasm of descending colon,malignancy,n/a
45571491,Malignant neoplasm of sigmoid colon,malignancy,n/a
35206137,Malignant neoplasm of sigmoid colon,malignancy,n/a
45600486,Malignant neoplasm of overlapping sites of colon,malignancy,n/a
35206138,Malignant neoplasm of overlapping sites of colon,malignancy,n/a
45561790,"Malignant neoplasm of colon, unspecified",malignancy,n/a
35206139,"Malignant neoplasm of colon, unspecified",malignancy,n/a
45561791,Malignant neoplasm of rectosigmoid junction,malignancy,n/a
35206140,Malignant neoplasm of rectosigmoid junction,malignancy,n/a
45542587,Malignant neoplasm of rectum,malignancy,n/a
35206141,Malignant neoplasm of rectum,malignancy,n/a
45556966,"Malignant neoplasm of anus, unspecified",malignancy,n/a
35206142,"Malignant neoplasm of anus, unspecified",malignancy,n/a
45576306,Malignant neoplasm of anal canal,malignancy,n/a
35206143,Malignant neoplasm of anal canal,malignancy,n/a
45532896,Malignant neoplasm of cloacogenic zone,malignancy,n/a
35206144,Malignant neoplasm of cloacogenic zone,malignancy,n/a
45561792,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",malignancy,n/a
35206145,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",malignancy,n/a
45552247,Liver cell carcinoma,malignancy,n/a
35206146,Liver cell carcinoma,malignancy,n/a
45547482,Intrahepatic bile duct carcinoma,malignancy,n/a
35206147,Intrahepatic bile duct carcinoma,malignancy,n/a
45542588,Hepatoblastoma,malignancy,n/a
35206148,Hepatoblastoma,malignancy,n/a
45552248,Angiosarcoma of liver,malignancy,n/a
35206149,Angiosarcoma of liver,malignancy,n/a
45571492,Other sarcomas of liver,malignancy,n/a
35206150,Other sarcomas of liver,malignancy,n/a
45547483,Other specified carcinomas of liver,malignancy,n/a
35206151,Other specified carcinomas of liver,malignancy,n/a
45585987,"Malignant neoplasm of liver, primary, unspecified as to type",malignancy,n/a
45537795,"Malignant neoplasm of liver, not specified as primary or secondary",malignancy,n/a
35206152,"Malignant neoplasm of liver, not specified as primary or secondary",malignancy,n/a
45590880,Malignant neoplasm of gallbladder,malignancy,n/a
35206153,Malignant neoplasm of gallbladder,malignancy,n/a
45552249,Malignant neoplasm of extrahepatic bile duct,malignancy,n/a
35206154,Malignant neoplasm of extrahepatic bile duct,malignancy,n/a
45566577,Malignant neoplasm of ampulla of Vater,malignancy,n/a
35206155,Malignant neoplasm of ampulla of Vater,malignancy,n/a
45581202,Malignant neoplasm of overlapping sites of biliary tract,malignancy,n/a
35206156,Malignant neoplasm of overlapping sites of biliary tract,malignancy,n/a
45566578,"Malignant neoplasm of biliary tract, unspecified",malignancy,n/a
35206157,"Malignant neoplasm of biliary tract, unspecified",malignancy,n/a
45590881,Malignant neoplasm of head of pancreas,malignancy,n/a
35206158,Malignant neoplasm of head of pancreas,malignancy,n/a
45556967,Malignant neoplasm of body of pancreas,malignancy,n/a
35206159,Malignant neoplasm of body of pancreas,malignancy,n/a
45556968,Malignant neoplasm of tail of pancreas,malignancy,n/a
35206160,Malignant neoplasm of tail of pancreas,malignancy,n/a
45556969,Malignant neoplasm of pancreatic duct,malignancy,n/a
35206161,Malignant neoplasm of pancreatic duct,malignancy,n/a
45547485,Malignant neoplasm of endocrine pancreas,malignancy,n/a
35206162,Malignant neoplasm of endocrine pancreas,malignancy,n/a
45556970,Malignant neoplasm of other parts of pancreas,malignancy,n/a
35207090,Other amyloidosis,metabolic,yes
35206163,Malignant neoplasm of other parts of pancreas,malignancy,n/a
45537796,Malignant neoplasm of overlapping sites of pancreas,malignancy,n/a
35206164,Malignant neoplasm of overlapping sites of pancreas,malignancy,n/a
45537797,"Malignant neoplasm of pancreas, unspecified",malignancy,n/a
35206165,"Malignant neoplasm of pancreas, unspecified",malignancy,n/a
45532898,"Malignant neoplasm of intestinal tract, part unspecified",malignancy,n/a
35206166,"Malignant neoplasm of intestinal tract, part unspecified",malignancy,n/a
45576308,Malignant neoplasm of spleen,malignancy,n/a
35206167,Malignant neoplasm of spleen,malignancy,n/a
45576309,Malignant neoplasm of ill-defined sites within the digestive system,malignancy,n/a
35206168,Malignant neoplasm of ill-defined sites within the digestive system,malignancy,n/a
45566579,Malignant neoplasm of nasal cavity,malignancy,n/a
35206169,Malignant neoplasm of nasal cavity,malignancy,n/a
45556971,Malignant neoplasm of middle ear,malignancy,n/a
35206170,Malignant neoplasm of middle ear,malignancy,n/a
45537798,Malignant neoplasm of maxillary sinus,malignancy,n/a
35206171,Malignant neoplasm of maxillary sinus,malignancy,n/a
