"concept_id","concept_code","concept_name","ccsr_cat_code","cluster"
45600634,"E08.329","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema","END003","Diabetes mellitus with complication"
37200031,"E08.3291","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, right eye","END003","Diabetes mellitus with complication"
37200032,"E08.3292","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, left eye","END003","Diabetes mellitus with complication"
37200033,"E08.3293","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, bilateral","END003","Diabetes mellitus with complication"
37200034,"E08.3299","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye","END003","Diabetes mellitus with complication"
1567913,"E08.33","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy","","Diabetes mellitus with complication"
45557107,"E08.331","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema","END003","Diabetes mellitus with complication"
37200035,"E08.3311","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, right eye","END003","Diabetes mellitus with complication"
37200036,"E08.3312","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, left eye","END003","Diabetes mellitus with complication"
37200037,"E08.3313","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, bilateral","END003","Diabetes mellitus with complication"
37200038,"E08.3319","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye","END003","Diabetes mellitus with complication"
45566723,"E08.339","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema","END003","Diabetes mellitus with complication"
37200039,"E08.3391","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, right eye","END003","Diabetes mellitus with complication"
37200040,"E08.3392","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, left eye","END003","Diabetes mellitus with complication"
37200041,"E08.3393","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, bilateral","END003","Diabetes mellitus with complication"
37200042,"E08.3399","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye","END003","Diabetes mellitus with complication"
1567914,"E08.34","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy","","Diabetes mellitus with complication"
45581342,"E08.341","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema","END003","Diabetes mellitus with complication"
37200043,"E08.3411","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, right eye","END003","Diabetes mellitus with complication"
37200044,"E08.3412","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, left eye","END003","Diabetes mellitus with complication"
37200045,"E08.3413","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, bilateral","END003","Diabetes mellitus with complication"
37200046,"E08.3419","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye","END003","Diabetes mellitus with complication"
45542729,"E08.349","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema","END003","Diabetes mellitus with complication"
37200047,"E08.3491","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, right eye","END003","Diabetes mellitus with complication"
37200048,"E08.3492","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, left eye","END003","Diabetes mellitus with complication"
37200049,"E08.3493","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, bilateral","END003","Diabetes mellitus with complication"
37200050,"E08.3499","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye","END003","Diabetes mellitus with complication"
1567915,"E08.35","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy","","Diabetes mellitus with complication"
45600639,"E10.620","Type 1 diabetes mellitus with diabetic dermatitis","END003","Diabetes mellitus with complication"
45600635,"E09.52","Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy with gangrene","CIR028","Gangrene"
1567940,"E10","Type 1 diabetes mellitus","","Diabetes mellitus without complication"
1567941,"E10.1","Type 1 diabetes mellitus with ketoacidosis","","Diabetes mellitus with complication"
45600636,"E10.10","Type 1 diabetes mellitus with ketoacidosis without coma","END003","Diabetes mellitus with complication"
45557110,"E10.11","Type 1 diabetes mellitus with ketoacidosis with coma","END003","Diabetes mellitus with complication"
1567942,"E10.2","Type 1 diabetes mellitus with kidney complications","","Diseases of the Genitourinary System"
45552379,"E10.21","Type 1 diabetes mellitus with diabetic nephropathy","END003","Diabetes mellitus with complication"
45547621,"E10.22","Type 1 diabetes mellitus with diabetic chronic kidney disease","END003","Diabetes mellitus with complication"
45600637,"E10.29","Type 1 diabetes mellitus with other diabetic kidney complication","END003","Diabetes mellitus with complication"
1567943,"E10.3","Type 1 diabetes mellitus with ophthalmic complications","","Diabetes mellitus with complication"
1567944,"E10.31","Type 1 diabetes mellitus with unspecified diabetic retinopathy","","Diabetes mellitus with complication"
45552381,"E10.311","Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema","END003","Diabetes mellitus with complication"
45542736,"E10.319","Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema","END003","Diabetes mellitus with complication"
1567945,"E10.32","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy","","Diabetes mellitus with complication"
45595793,"E10.321","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema","END003","Diabetes mellitus with complication"
37200141,"E10.3211","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye","END003","Diabetes mellitus with complication"
37200142,"E10.3212","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye","END003","Diabetes mellitus with complication"
37200174,"E10.353","Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula","","Diabetes mellitus with complication"
37200175,"E10.3531","Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye","END003","Diabetes mellitus with complication"
37200176,"E10.3532","Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye","END003","Diabetes mellitus with complication"
37200177,"E10.3533","Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral","END003","Diabetes mellitus with complication"
37200178,"E10.3539","Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye","END003","Diabetes mellitus with complication"
37200179,"E10.354","Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment","","Diabetes mellitus with complication"
37200180,"E10.3541","Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye","END003","Diabetes mellitus with complication"
37200181,"E10.3542","Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye","END003","Diabetes mellitus with complication"
37200182,"E10.3543","Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral","END003","Diabetes mellitus with complication"
37200183,"E10.3549","Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye","END003","Diabetes mellitus with complication"
37200184,"E10.355","Type 1 diabetes mellitus with stable proliferative diabetic retinopathy","","Diabetes mellitus with complication"
37200185,"E10.3551","Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, right eye","END003","Diabetes mellitus with complication"
37200186,"E10.3552","Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, left eye","END003","Diabetes mellitus with complication"
37200187,"E10.3553","Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral","END003","Diabetes mellitus with complication"
37200188,"E10.3559","Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye","END003","Diabetes mellitus with complication"
45571654,"E10.359","Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema","END003","Diabetes mellitus with complication"
37200189,"E10.3591","Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye","END003","Diabetes mellitus with complication"
37200190,"E10.3592","Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye","END003","Diabetes mellitus with complication"
37200191,"E10.3593","Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral","END003","Diabetes mellitus with complication"
37200192,"E10.3599","Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye","END003","Diabetes mellitus with complication"
45552382,"E10.36","Type 1 diabetes mellitus with diabetic cataract","END003","Diabetes mellitus with complication"
37200193,"E10.37","Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment","","Diabetes mellitus with complication"
37200194,"E10.37X1","Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye","END003","Diabetes mellitus with complication"
37200195,"E10.37X2","Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye","END003","Diabetes mellitus with complication"
37200196,"E10.37X3","Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral","END003","Diabetes mellitus with complication"
37200197,"E10.37X9","Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye","END003","Diabetes mellitus with complication"
45576438,"E10.39","Type 1 diabetes mellitus with other diabetic ophthalmic complication","END003","Diabetes mellitus with complication"
1567949,"E10.4","Type 1 diabetes mellitus with neurological complications","","Diabetes mellitus with complication"
45600638,"E10.40","Type 1 diabetes mellitus with diabetic neuropathy, unspecified","END003","Diabetes mellitus with complication"
45576439,"E10.41","Type 1 diabetes mellitus with diabetic mononeuropathy","END003","Diabetes mellitus with complication"
45595795,"E10.42","Type 1 diabetes mellitus with diabetic polyneuropathy","END003","Diabetes mellitus with complication"
45533017,"E10.43","Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy","END003","Diabetes mellitus with complication"
45561948,"E10.44","Type 1 diabetes mellitus with diabetic amyotrophy","END003","Diabetes mellitus with complication"
45586138,"E10.49","Type 1 diabetes mellitus with other diabetic neurological complication","END003","Diabetes mellitus with complication"
1567950,"E10.5","Type 1 diabetes mellitus with circulatory complications","","Diabetes mellitus with complication"
45547622,"E10.51","Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene","CIR032","Other specified and unspecified circulatory disease"
45547622,"E10.51","Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene","CIR032","Other specified and unspecified circulatory disease"
45542737,"E10.52","Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene","CIR028","Gangrene"
45542737,"E10.52","Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene","CIR028","Gangrene"
45581349,"E10.59","Type 1 diabetes mellitus with other circulatory complications","END003","Diabetes mellitus with complication"
1567951,"E10.6","Type 1 diabetes mellitus with other specified complications","","Diabetes mellitus with complication"
1567952,"E10.61","Type 1 diabetes mellitus with diabetic arthropathy","","Diabetes mellitus with complication"
45576440,"E10.610","Type 1 diabetes mellitus with diabetic neuropathic arthropathy","END003","Diabetes mellitus with complication"
45537960,"E10.618","Type 1 diabetes mellitus with other diabetic arthropathy","END003","Diabetes mellitus with complication"
1567953,"E10.62","Type 1 diabetes mellitus with skin complications","","Diabetes mellitus with complication"
45605398,"E10.621","Type 1 diabetes mellitus with foot ulcer","END003","Diabetes mellitus with complication"
45581350,"E10.622","Type 1 diabetes mellitus with other skin ulcer","END003","Diabetes mellitus with complication"
45566729,"E10.628","Type 1 diabetes mellitus with other skin complications","END003","Diabetes mellitus with complication"
1567954,"E10.63","Type 1 diabetes mellitus with oral complications","","Diabetes mellitus with complication"
45557111,"E10.630","Type 1 diabetes mellitus with periodontal disease","END003","Diabetes mellitus with complication"
45547623,"E10.638","Type 1 diabetes mellitus with other oral complications","END003","Diabetes mellitus with complication"
1567955,"E10.64","Type 1 diabetes mellitus with hypoglycemia","","Diabetes mellitus with complication"
35206877,"E10.640","Type 1 diabetes mellitus with hypoglycemia without coma","","Diabetes mellitus with complication"
45552383,"E10.641","Type 1 diabetes mellitus with hypoglycemia with coma","END003","Diabetes mellitus with complication"
45600640,"E10.649","Type 1 diabetes mellitus with hypoglycemia without coma","END003","Diabetes mellitus with complication"
45533018,"E10.65","Type 1 diabetes mellitus with hyperglycemia","END003","Diabetes mellitus with complication"
45547624,"E10.69","Type 1 diabetes mellitus with other specified complication","END003","Diabetes mellitus with complication"
35206878,"E10.8","Type 1 diabetes mellitus with unspecified complications","END003","Diabetes mellitus with complication"
35206879,"E10.9","Type 1 diabetes mellitus without complications","END002","Diabetes mellitus with complication"
1567956,"E11","Type 2 diabetes mellitus","","Diabetes mellitus without complication"
1567957,"E11.0","Type 2 diabetes mellitus with hyperosmolarity","","Diabetes mellitus with complication"
45542738,"E11.00","Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)","END003","Diabetes mellitus with complication"
45586139,"E11.01","Type 2 diabetes mellitus with hyperosmolarity with coma","END003","Diabetes mellitus with complication"
1326491,"E11.1","Type 2 diabetes mellitus with ketoacidosis","","Diabetes mellitus with complication"
1326492,"E11.10","Type 2 diabetes mellitus with ketoacidosis without coma","END003","Diabetes mellitus with complication"
1326493,"E11.11","Type 2 diabetes mellitus with ketoacidosis with coma","END003","Diabetes mellitus with complication"
1567958,"E11.2","Type 2 diabetes mellitus with kidney complications","","Diabetes mellitus with complication"
45591027,"E11.21","Type 2 diabetes mellitus with diabetic nephropathy","END003","Diabetes mellitus with complication"
45595797,"E11.22","Type 2 diabetes mellitus with diabetic chronic kidney disease","END003","Diabetes mellitus with complication"
45605401,"E11.29","Type 2 diabetes mellitus with other diabetic kidney complication","END003","Diabetes mellitus with complication"
1567959,"E11.3","Type 2 diabetes mellitus with ophthalmic complications","","Diabetes mellitus with complication"
1567960,"E11.31","Type 2 diabetes mellitus with unspecified diabetic retinopathy","","Diabetes mellitus with complication"
45581352,"E11.311","Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema","END003","Diabetes mellitus with complication"
45581353,"E11.319","Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema","END003","Diabetes mellitus with complication"
1567961,"E11.32","Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy","","Diabetes mellitus with complication"
45552385,"E11.321","Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema","END003","Diabetes mellitus with complication"
37200198,"E11.3211","Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye","END003","Diabetes mellitus with complication"
37200199,"E11.3212","Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye","END003","Diabetes mellitus with complication"
37200200,"E11.3213","Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral","END003","Diabetes mellitus with complication"
37200201,"E11.3219","Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye","END003","Diabetes mellitus with complication"
45581354,"E11.329","Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema","END003","Diabetes mellitus with complication"
37200202,"E11.3291","Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye","END003","Diabetes mellitus with complication"
37200203,"E11.3292","Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye","END003","Diabetes mellitus with complication"
37200204,"E11.3293","Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral","END003","Diabetes mellitus with complication"
37200205,"E11.3299","Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye","END003","Diabetes mellitus with complication"
1567962,"E11.33","Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy","","Diabetes mellitus with complication"
45537961,"E11.331","Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema","END003","Diabetes mellitus with complication"
37200206,"E11.3311","Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye","END003","Diabetes mellitus with complication"
37200207,"E11.3312","Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye","END003","Diabetes mellitus with complication"
37200208,"E11.3313","Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral","END003","Diabetes mellitus with complication"
37200209,"E11.3319","Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye","END003","Diabetes mellitus with complication"
45591029,"E11.339","Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema","END003","Diabetes mellitus with complication"
45561954,"E13.01","Other specified diabetes mellitus with hyperosmolarity with coma","END003","Diabetes mellitus with complication"
37200243,"E11.3552","Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, left eye","END003","Diabetes mellitus with complication"
37200244,"E11.3553","Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral","END003","Diabetes mellitus with complication"
37200245,"E11.3559","Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye","END003","Diabetes mellitus with complication"
45552386,"E11.359","Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema","END003","Diabetes mellitus with complication"
37200246,"E11.3591","Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye","END003","Diabetes mellitus with complication"
37200247,"E11.3592","Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye","END003","Diabetes mellitus with complication"
37200248,"E11.3593","Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral","END003","Diabetes mellitus with complication"
37200249,"E11.3599","Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye","END003","Diabetes mellitus with complication"
45595798,"E11.36","Type 2 diabetes mellitus with diabetic cataract","END003","Diabetes mellitus with complication"
37200250,"E11.37","Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment","","Diabetes mellitus with complication"
37200251,"E11.37X1","Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye","END003","Diabetes mellitus with complication"
37200252,"E11.37X2","Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye","END003","Diabetes mellitus with complication"
37200253,"E11.37X3","Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral","END003","Diabetes mellitus with complication"
37200254,"E11.37X9","Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye","END003","Diabetes mellitus with complication"
45533019,"E11.39","Type 2 diabetes mellitus with other diabetic ophthalmic complication","END003","Diabetes mellitus with complication"
1567965,"E11.4","Type 2 diabetes mellitus with neurological complications","","Diabetes mellitus with complication"
45605403,"E11.40","Type 2 diabetes mellitus with diabetic neuropathy, unspecified","END003","Diabetes mellitus with complication"
45547625,"E11.41","Type 2 diabetes mellitus with diabetic mononeuropathy","END003","Diabetes mellitus with complication"
45557113,"E11.42","Type 2 diabetes mellitus with diabetic polyneuropathy","END003","Diabetes mellitus with complication"
45537962,"E11.43","Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy","END003","Diabetes mellitus with complication"
45533020,"E11.44","Type 2 diabetes mellitus with diabetic amyotrophy","END003","Diabetes mellitus with complication"
45605404,"E11.49","Type 2 diabetes mellitus with other diabetic neurological complication","END003","Diabetes mellitus with complication"
1567966,"E11.5","Type 2 diabetes mellitus with circulatory complications","","Diabetes mellitus with complication"
45533021,"E11.51","Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene","CIR032","Diabetes mellitus with complication"
45533021,"E11.51","Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene","CIR032","Other specified and unspecified circulatory disease"
45533022,"E11.52","Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene","CIR028","Diabetes mellitus with complication"
45533022,"E11.52","Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene","CIR028","Gangrene"
45576443,"E11.59","Type 2 diabetes mellitus with other circulatory complications","END003","Diabetes mellitus with complication"
1567967,"E11.6","Type 2 diabetes mellitus with other specified complications","","Diabetes mellitus with complication"
1567968,"E11.61","Type 2 diabetes mellitus with diabetic arthropathy","","Diabetes mellitus with complication"
45600641,"E11.610","Type 2 diabetes mellitus with diabetic neuropathic arthropathy","END003","Diabetes mellitus with complication"
45586140,"E11.618","Type 2 diabetes mellitus with other diabetic arthropathy","END003","Diabetes mellitus with complication"
1567969,"E11.62","Type 2 diabetes mellitus with skin complications","","Diabetes mellitus with complication"
45547626,"E11.620","Type 2 diabetes mellitus with diabetic dermatitis","END003","Diabetes mellitus with complication"
45581355,"E11.621","Type 2 diabetes mellitus with foot ulcer","END003","Diabetes mellitus with complication"
45600642,"E11.622","Type 2 diabetes mellitus with other skin ulcer","END003","Diabetes mellitus with complication"
45547627,"E11.628","Type 2 diabetes mellitus with other skin complications","END003","Diabetes mellitus with complication"
1567970,"E11.63","Type 2 diabetes mellitus with oral complications","","Diabetes mellitus with complication"
45533023,"E11.630","Type 2 diabetes mellitus with periodontal disease","END003","Diabetes mellitus with complication"
45566731,"E11.638","Type 2 diabetes mellitus with other oral complications","END003","Diabetes mellitus with complication"
1567971,"E11.64","Type 2 diabetes mellitus with hypoglycemia","","Diabetes mellitus with complication"
35206880,"E11.640","Type 2 diabetes mellitus with hypoglycemia without coma","","Diabetes mellitus with complication"
45561949,"E11.641","Type 2 diabetes mellitus with hypoglycemia with coma","END003","Diabetes mellitus with complication"
45591031,"E11.649","Type 2 diabetes mellitus with hypoglycemia without coma","END003","Diabetes mellitus with complication"
45605405,"E11.65","Type 2 diabetes mellitus with hyperglycemia","END003","Diabetes mellitus with complication"
45595799,"E11.69","Type 2 diabetes mellitus with other specified complication","END003","Diabetes mellitus with complication"
35206881,"E11.8","Type 2 diabetes mellitus with unspecified complications","END003","Diabetes mellitus with complication"
35206882,"E11.9","Type 2 diabetes mellitus without complications","END002","Diabetes mellitus with complication"
1567972,"E13","Other specified diabetes mellitus","","Diabetes mellitus with complication"
1567973,"E13.0","Other specified diabetes mellitus with hyperosmolarity","","Diabetes mellitus with complication"
